,id,player_name,country,base_price,type,final_price,team_id
84,85,mohit sharma,India,50,bowler,0,0
85,86,billy stanlake,Australia,100,bowler,0,0
86,87,oshane thomas,West Indies,50,bowler,0,0
87,88,finn allen,New Zealand,20,batsman,,
88,89,harpreet bhatia,India,20,batsman,,
89,90,shivam chauhan,India,20,batsman,,
90,91,naushad shaikh,India,20,batsman,,
91,92,pratham singh,India,20,batsman,,
92,93,apoorv wankhade,India,20,batsman,,
93,94,atharva ankolekar,India,20,all,,
94,95,prayas barman,India,20,all,,
95,96,rojith ganesh,India,20,all,,
96,97,sumit kumar,India,20,all,,
97,98,akshdeep nath,India,20,all,,
98,99,pradeep sangwan,India,20,all,,
99,100,jalaj saxena,India,30,all,30,3
100,101,karan sharma,India,20,all,,
101,102,utkarsh singh,India,20,all,20,3
102,103,r sonu yadav,India,20,all,,
